Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Имена персонажей;Gavin King;Гэвин Кинг;Бывший танцор и певец, ставший борцом за справедливость в силовом костюме после встречи с тайной организацией.;Орфей;
Имена персонажей;Gavril Ivanovich;Гаврил Иванович;Член Бригады Красных Ракет, российский супергерой, боец Международной Лиги Справедливости.;Красная Ракета;
Имена персонажей;Gavyn;Гэвейн;Инопланетный принц с планеты Краналтин, ставший космическим защитником и пятым Старменом.;Стармен;
Имена персонажей;Gemini De Mille;Джемини де Милле;Дочь Лауры де Милле, унаследовавшая её способности.;;
Имена персонажей;Genius Jones (John Jones);Умничка Джонс (Джон Джонс);Юноша, выживший на необитаемом острове с 743 книгами, стал странствующим решателем проблем, продавая ответы на вопросы.;Всезнайкин;
Имена персонажей;George Cross;Джордж Кросс;Британский супергерой и шпион, предавший своё агентство ради помощи Бэтмену.;Капюшон;
Имена персонажей;George Grant;Джордж Грант;Учёный в бронированном костюме, дважды потерпевший поражение от Супермена.;Металло;
Имена персонажей;Georgia Sivana;Джорджия Сивана;Гениальная дочь злодея-учёного Доктора Сиваны, противостоящая Мэри Марвел и семье Марвел.;;
Имена персонажей;Gerard Shugel;Джерард Шугель;Учёный, который точно так же, как оригинальный Ультра-Гуманит, научился переносить свой мозг в другие тела и тоже выбравший гориллу-альбиноса.;Ультра-Гуманит;
Имена персонажей;Gerome McKenna;Джером Маккенна;Метачеловек, получивший сверхсилу благодаря Лексу Лютору.;Нуклон, Двойной Удар;
Имена персонажей;Gerry Regan (Jerzy Reganiewicz);Джерри Риган (Ежи Регеневич);Отец Рори Ригана.;;
Имена персонажей;Ghast;Гаст;Могущественный демон из Демонической Тройки, некогда правивший Землёй.;;
Имена персонажей;Giovanni Zatara (John Zatara);Джованни Затара (Джон Затара);Легендарный маг Золотого века, борец с преступностью, отец Затанны и дядя Зака Затары.;;
Имена персонажей;Gloria James;Глория Джеймс;Девушка-супергероиня, способная взрываться, неуязвимая для собственных взрывов и вынужденная носить специальный костюм.;Петарда;
Имена персонажей;Glorious Godfrey (Gordon Godfrey);Великолепный Годфри (Гордон Годфри );Брат Удивительной Грации, зловещий приспешник Дарксайда, подчиняющий умы силой красноречия.;;
Имена персонажей;Glorith;Глорит;Волшебница, захватившая власть над временем, манипулировавшая судьбами героев и изменившая ход истории.;;
Имена персонажей;Gnarrk;Гнаррк;Пещерный человек, попавший из каменного века в современность благодаря Юным Титанам.;Кейвбой;
Имена персонажей;Gog;Гог;Один из Старых Богов Третьего мира, оказавшийся заточенным в скале на территории современной ДР Конго и почитаемый местным племенем.;;
Имена персонажей;Gold;Золото;Робот‑супергерой из жидкого металла, лидер команды Металлических Людей с повышенной способностью к растяжению.;Металлические Люди;
Имена персонажей;Gole;Гоул;Участник террористической группировки Глубоководная шетёрка, Новый Бог с Апоколипса.;;
Имена персонажей;Gorilla Grodd;Горилла Гродд;Сверхразумная горилла, обладающая телепатией и способностью контролировать разум.;;
Имена персонажей;Grace Balin;Грейс Балин;Морской биолог, превратившаяся в гибрид человека и косатки после слияния ДНК.;Косатка;
Имена персонажей;Grace Choi;Грация Чой;Дочь неизвестной амазонки из Бана-Мигдалла, супергероиня, обладающая сверхчеловеческой силой и выносливостью.;;
Имена персонажей;Grail;Грааль;Дочь Дарксайда и амазонки Мирины.;;
Имена персонажей;Granny Goodness;Добрая Бабуля (Бабуля);Новая Богиня, жестокая наставница армий Апоколипса и Фурий Апоколипса.;;Мистическим образом во множестве переводов слово Granny почти всегда передавали как «Бабуля», а не «Бабушка» какая-нибудь, тогда как Goodness переводили по-разному. Был выбран простой вариант «Добрая», так как он лучше всего отражает лицемерный смысл её имени. [Прим. D.Crane]
Имена персонажей;Grant Emerson (Grant Albert Emerson);Грант Эмерсон (Грант Альберт Эмерсон);Родной сын Ала Пратта, приёмный сын Нила Эмерсона, являющийся продуктом генетического эксперимента.;Ущерб;
Имена персонажей;Grant Wilson;Грант Уилсон;Сын Слэйда Уилсона, наёмник по прозвищу Опустошитель, воспитанный для продолжения кровавого наследия отца.;Опустошитель;
Имена персонажей;Grayven;Грейвен;Представитель расы Новых богов с Апоколипса, один из сыновей Дарксайда.;;
Имена персонажей;Greg Sanders (Gregory Sanders);Грег Сандерс (Грегори Сандерс);Первый Линчеватель, действовавший в Диком Западе, середине XX и начале XXI века.;Линчеватель;
Имена персонажей;Gregori Arcane;Григорий Аркейн;Сын Анаис Аркейн, брат Антона и Анелы Аркейнов, а также отец Эбби Аркейн.;Сшитый человек;Семья Аркейнов имеет румынские корни, и имена всех её членов адаптированы в восточноевропейской манере. [Прим. D.Crane]
Имена персонажей;Gregorio de la Vega;Грегорио де ла Вега;Избранный для продвижения человечества в новое тысячелетие, обрётший силу и имя Экстранио.;Экстранио;
Имена персонажей;Greta Hayes;Грета Хейс;Убитая приёмным братом Биллом Хейсом девушка, застрявшая между мирами в качестве призрака.;Секрет;
Имена персонажей;Gu Lao;Гу Лао;Участник Великой Десятки, страдающий от неизлечимого недуга.;Красногвардеец-социалист;Судя по всему, это не совсем имя, а прозвище: буквально оно означает «старик», причём не почтенный старец, а скорее «вековой пень». [Прим. D.Crane]
Имена персонажей;Gunner Bill;Батареец Билл;Участник Трио асов, умевший постоять за друзей в драке, всегда брал защиту близких на себя.;Трио асов;
Имена персонажей;Gunner MacKay;Строчила Маккэй;Морской пехотинец Второй мировой, сражавшийся в составе элитного отряда Лузеры, а позже и в составе Монстров-коммандос.;;
Имена персонажей;Guy Gardner (Guy Darrin Gardner);Гай Гарднер (Гай Дэррин Гарднер);Дерзкий и самоуверенный третий Зелёный Фонарь Земли.;Зелёный Фонарь;
Имена персонажей;H'El;Х'Эл;Криптонский клон, готовый на всё ради наследия родной планеты и ставший из‑за этого врагом Супермена.;;
Имена персонажей;Hades;Аид;Древнегреческий бог, владычествующий над мёртвыми и подземного царства мёртвых.;;
Имена персонажей;Hal Jordan (Harold Jordan);Хэл Джордан (Гарольд Джордан);Межгалактический страж с кольцом силы, преодолевающий страх, а в прошлом — носитель духа возмездия.;Зелёный Фонарь, Параллакс, Спектр, Кольцо Силы;
Имена персонажей;Hank Hall (Henry Hall);Хэнк Холл (Генри Холл);Первоначальный носитель образа Ястреба, сперва напарник Дона Холла, затем Доун Грейнджер.;Ястреб, Монарх;
Имена персонажей;Hank Hayes (Henry Hayes);Хэнк Хейс (Генри Хейс);Странствующий по Дикому Западу певец, исправляющий несправедливость с помощью песни.;Странствующий менестрель;
Имена персонажей;Hank Henshaw (Henry Henshaw);Хэнк Хеншоу (Генри Хеншоу);Бывший астронавт, превращённый в кибернетическое существо после космической катастрофы.;Киборг-Супермен;
Имена персонажей;Hank Heywood III (Henry Heywood III);Хэнк Хейвуд III (Генри Хейвуд III);Внук Хэнк Хейвуд-старшего продолживший дело деда.;Сталь;
Имена персонажей;Hank Heywood Jr. (Henry Heywood Jr.);Хэнк Хейвуд мл. (Генри Хейвуд мл.);Сын Хэнка Хейвуда-старшего и отец Хэнка Хейвуда III.;Капитан Сталь;
Имена персонажей;Hank Heywood Sr. (Henry Heywood Sr.);Хэнк Хейвуд ст. (Генри Хейвуд ст.);Герой Второй мировой войны, обретший сверхсилу благодаря кибернетическим усовершенствованиям, отец Хэнк Хейвуд-младшего.;Сталь, Командир Сталь;
Имена персонажей;Hannibal Hawkes;Ганнибал Хоукс;Реинкарнация принца Хуфу, герой Дикого Запада, сражавшийся вместе с Кейт Менсер под именем Козодой.;Ктар;
Имена персонажей;Hans Hendrickson (Ritter Hendricksen);Ханс Хендриксон (Риттер Хендриксон);Ветеран эскадрильи «Чёрный Ястреб» времён Второй мировой, меткий стрелок и знаток оружия.;Эскадрилья «Чёрный Ястреб» ;
Имена персонажей;Hans von Hammer;Ганс фон Хаммер;Немецкий барон, военный лётчик времён обеих Мировых войн, чьи представления о чести настраивали против него сослуживцев.;Вражеский Ас;
Имена персонажей;Happy Terrill (Langford Terrill);Хэппи Террилл (Лэнгфорд Террилл);Первый Луч, участвовавший в операции по захвату Копья Судьбы и передавший свои силы сыну Рэю Терриллу.;Луч;
Имена персонажей;Harleen Quinzel (Harleen Frances Quinzel);Харлин Квинзель (Харлин Фрэнсис Квинзель);Бывшая психиатр, превратившаяся в безумную преступницу и соратницу Джокера, известную как Харли Квинн.;Харли Квинн;
Имена персонажей;Harold Allnut;Гарольд Оллнат;Гениальный механик-инвалид, много лет создававший устройства для Бэтмена, но в итоге предавший его.;;
Имена персонажей;Harold Jordan (Hal Jordan, Harold Lawrence Jordan);Гарольд Джордан (Хэл Джордан, Гарольд Лоуренс Джордан);Сын Ларри и Хелены Джордан, названный в честь ствоего дяди Хэла Джордана, который продолжил дело отца.;Амплитуда;
Имена персонажей;Harold Levey (Harold Jordan Levey);Гарольд Леви (Гарольд Джордан Леви);Загадочный новый герой, ставший четвёртой Амплитудой.;Амплитуда;
Имена персонажей;Harper Row;Харпер Роу;Сестра Каллена Роу, техник, пережившая трудное детство, ставшая помощницей Бэтмена и защитницей Готэма.;Блюбёрд;
Имена персонажей;Harpis (A'Hwiirdh-Paan'A);Гарпис (Хвиирд-Пан);Участник Омега-людей с планеты Аэлла, пережившая генетические изменения, предательство сестры Демонии.;;Гарпис — название реки, так переименованной после того, как в ней утонули гарпии (или только одна) из мифа об аргонавтах. [Прим. D.Crane]
Имена персонажей;Hart Druiter;Харт Друитер;Алхимик XXX века, предавший Легион Супергероев в пользу империи кхундов и убивший героя Вала Арморра.;Пацан-Немезида;
Имена персонажей;Harvey Bullock;Харви Буллок;Детектив полиции Готэма с суровой манерой поведения, один из немногих честных копов в городе.;;
Имена персонажей;Harvey Dent;Харви Дент;Бывший окружной прокурор Готэма, превратившийся в преступника с раздвоением личности.;Двуликий;
Имена персонажей;Harvey Harris;Харви Харрис;Детектив из Готэма, ставший наставником осиротевшего Брюса Уэйна, дядя Венди Харрис.;;
Имена персонажей;Hath-Set;Хат-Сет;Древнеегипетский жрец, обрёкший на вечные перерождения принца Хуфу и принцессу Шай-Ару.;;
Имена персонажей;Haumond;Хаумонд;Атлантийский принц, средний сын Хонсу Завоевателя и Лорелеи, брат Кракена и Атлана.;;
Имена персонажей;Hawk Haukins;Хоук Хокинс;Сын Томаса Хокинса и Лунной Лани из племени Амачи, ставший героем под псевдонимом Ястреб, сын Томагавка.;Ястреб, сын Томагавка;
Имена персонажей;Hecate;Геката;Древнегреческая богиня магии и потустороннего, обитательница подземного мира, иногда союзница, иногда противница Чудо‑женщины.;;
Имена персонажей;Hector Hall;Гектор Холл;Реинкарнация Гектора Сандерса Холла, но на этот раз в качестве сына Хэнка Холла и Доун Грэйнджер.;Доктор Фэйт;
Имена персонажей;Hector Hammond;Гектор Хаммонд;Могущественный суперзлодей с телепатией и телекинезом, способный управлять разумом других и летать.;Банда Роял-флэш;
Имена персонажей;Hector Sanders Hall (Hector Hall);Гектор Сандерс Холл (Гектор Холл);Сын Картера Холла и Шиеры Сандерс, муж Литы Тревор, отец Дэниела Холла.;Серебряный Скарабей, Песочный человек;
Имена персонажей;Heggra;Хеггра;Супруга Юга Хана и мать Дарксайда.;;
Имена персонажей;Helen Jordan;Хелен Джордан;Жена Ларри Джордан и мать Гарольда Джордана, вынужденная на время перенять мантию погибшего мужа.;Амплитуда;
Имена персонажей;Helena Bertinelli (Helena Rosa Janice Bertinelli);Хелена Бертинелли (Хелена Роза Дженис Бертинелли);Дочь криминального семейства Бертинелли, ставшая героиней.;Охотница;
Имена персонажей;Helena Kosmatos;Елена Косматос;Девушка, получившая от эриний силу для мести нацистам, но подверженная одержимости фуриями при гневе, мать Литы Тревор.;Фурия;
Имена персонажей;Helena Sandsmark;Хелена Сэндсмарк;Археолог и мать Кэсси Сэндсмарк.;;
Имена персонажей;Helena Wayne;Хелена Уэйн;Дочь Брюса Уэйна и Селины Кайл из возможного будущего, которая пошла по стопам отца и стала Охотницей.;Охотница;
Имена персонажей;Helene Astar (Helen Rock);Элен Астар (Элен Рок);Реинкарнация древнеегипетского жреца Хат-Сета 80-х годов XX века.;Хат-Сет;
Имена персонажей;Helga Jace;Хельга Джейс;Учёная, наделившая Тару и Бриона Марковов способностями управлять землёй.;;
Имена персонажей;Helmut Streicher;Хельмут Штрайхер;Нацистский учёный, создавший боевой костюм и машину време)ни, чтобы предотвратить поражение Германии во Второй мировой войне.;Алый Панцер;
Имена персонажей;Helspont;Хелспонт;Пришелец‑повелитель демонитов, застрявший на Земле и не раз пытавшийся её захватить.;;
Имена персонажей;Henri Ducard;Анри Дюкард;Французский охотник за людьми и опытный убийца, бывший наставник Брюса Уэйна.;;
Имена персонажей;Henri Duval;Анри Дюваль;Отважный герой, не раз спасавший короля Франции.;;
Имена персонажей;Henry Charles;Генри Чарльз;Потомок тайного монаршеского рода, захвативший власть с помощью магического Лассо Лжи, правивший США как король.;Суверен;
Имена персонажей;Hera;Гера;Древнегреческая богиня, покровительница женщин и брака, жена Зевса.;;
Имена персонажей;Herakles;Геракл;Древнегреческий герой, сын Зевса, известный невероятной силой и героическими подвигами.;;
Имена персонажей;Herbert Simms;Герберт Симс;Юноша, вставший на защиту родного города Биг-Сити в качестве героя Крепыша.;Крепыш;
Имена персонажей;Hercules (Herakles, Heracles);Геракл;Могущественный герой древнегреческих мифов, сын смертной женщины и Зевса, прославившийся невероятной силой.;;
Имена персонажей;Hero Cruz;Хиро Крус;Юноша‑супергерой из группы Рейверов Коннера Кента, использующий мистический диск Набор-Г.;;
Имена персонажей;Herupa Hando Hu;Херупа Хандо Ху;Хранитель Вселенной, инициатор объединения оанцев с замаронками и создатель группы Новых Хранителей.;;
Имена персонажей;Hestia;Гестия;Древнегреческая богиня, покровительница домашнего очага.;;
Имена персонажей;Hfuhruhurr the Word-Bringer;Хфухрухурр Несущий слово;Пришелец, странствующий по Вселенной и собирающий разумы для слияния в единый разум — Союз.;;
Имена персонажей;Himon;Хаймон;Хранитель тайн Верховного отец, учитель Новых Богов, борец против тирании Дарксайда, отец Бекки.;;
Имена персонажей;Hippolyta;Ипполита;Царица амазонок острова Темискира и первая Чудо-женщина, сестра Антиопы, Аталанты и Астарты, мать Дианы Принс и Донный Трой.;Чудо-женщина;
Имена персонажей;Hiro Okamura;Хиро Окамура;Подросток-гений японского происхождения, который пытается отбелить имя Игрушечника, помогая Супермену и Бэтмену.;Игрушечник;
Имена персонажей;Hollis Mason (Hollis T. Mason);Холлис Мейсон (Холлис Т. Мейсон);Полицейский, ставший борцом с преступностью ради приключений, позже ушедший на покой и написавший книгу о команде Ополченцев.;;
Имена персонажей;Holly Granger;Холли Грэйнджер;Сестра Доун Грэйнджер, обретшая силу Хаоса и ставшая вторым Ястребом.;Ястреб;
Имена персонажей;Honsu the Conqueror;Хонсу Завоеватель;Царь Атлантиды, муж Лорелеи, отец Кракена, Атлана и Хаумонда, дедушка Артура Карри и Дебби Перкинс.;;Видимо, имя персонажа является отсылкой к древнеегипетскому богу Луны. [Прим. D.Crane]
Имена персонажей;Hop Harrigan;Хоп Харриган;Юный лётчик-ас Второй мировой, основатель авиастроительной компании, ненадолго становившийся мстителем в маске, но забросивший это.;;
Имена персонажей;Hope Hazard;Хоуп Хазард;Агент ФБР 1930‑х годов, бросавшая вызов стереотипам своего времени.;Гэбэшница;
Имена персонажей;Hu Wei;Ху Вэй;Китайский супергерой, участник Великой Десятки, вжившийся в племя йети и отстоявший их право на существование.;Йети;
Имена персонажей;Hudson Pyle;Хадсон Пайл;Бывший каскадёр, ставший мстителем в масте и пожертвовавший собой ради любимой женщины.;Кавалер;
Имена персонажей;Hugh Dawkins;Хью Доукинс;Австралийский супергерой, способный увеличиваться в размерах, впоследствии превратившийся в гигантского тасманийского дьявола.;Тасманийский дьявол;
Имена персонажей;Hugh Hazzard;Хью Хаззард;Детектив 1930-х, укравший и переоборудовавший Жестяного Бозо для борьбы с преступностью, позже превративший его в подобие доспехов.;Жестяной Бозо;
Имена персонажей;Hugo Strange;Хьюго Стрэйндж;Гениальный злодей‑учёный и психолог, раскрывший тайну личности Бэтмена и создавший монстров.;;
Имена персонажей;Hunter Zolomon;Хантер Золомон;Бывший профайлер ФБР, ставший злодеем, чтобы через испытания сделать Уолли Уэста величайшим героем.;Зум, Обратный Флэш;
Имена персонажей;I-Ching;И Цзин;Старый мастер боевых искусств, обучавший Чудо‑женщину после утраты ею сил и погибший от руки снайпера.;;Имя персонажа отсылает к «Книге перемен», одному из самых ранних китайских философских текстов. [Прим. D.Crane]
Имена персонажей;Ice Cream Soldier (Phillip Mason);Сахарный солдатик (Филлип Мэйсон);Солдат «Лёгкой» Бригады, прошедший вторую половину Второй мировой и участвовавший в битве при Арденнах.;«Лёгкая» Бригада;Выражение «ice cream soldier» возникло во времена Второй мировой войны и описывало тыловиков — солдат, которые не видели ужасов войны. Подразумевая, что они «нежные, как мороженое». При адаптации на русский заменено на «сахарный», имея в виду фразу «не сахарный, не растает». Но в данном случае ситуация обратная — как раз растает. [Прим. D.Crane]
Имена персонажей;Imperiex;Импирекс;Колоссальное воплощение энтропии в броне, разрушающее вселенные и создающее новые из пепла старых.;;
Имена персонажей;Incubus;Инкубус;Сын Асмодея, брат Чаровницы (Суккубус), тёмная сущность, узурпировавшая власть в Домене Ночной Тени.;;
Имена персонажей;Ingria Olav;Ингрия Олав;Возлюбленная Леланда Макколи, который подарил ей дубликат Изумрудного ока Эрона, и она стала третьей Изумрудной императрицей.;Изумрудная Императрица;
Имена персонажей;Inza Cramer;Инса Крамер;Возлюбленная и жена Кента Нельсона, впоследствии унаследовавшая от него силу Доктора Фэйта.;Доктор Фэйт;
Имена персонажей;Ion;Ион;Сущность воли, питающая Корпус Зелёных Фонарей.;Сущности, Корпус Зелёных Фонарей;
Имена персонажей;Irey West (Iris Park-West);Айри Уэст (Айрис Парк-Уэст);Спидстер, дочь Уолли Уэста и Линды Парк, сестра-близнец Джая Уэста и старшая сестра Уэйда Уэста.;Импульс, Буревестница;
Имена персонажей;Iris West (Iris Ann West);Айрис Уэст (Айрис Энн Уэст);Репортёр из Централ-Сити, невеста/жена Барри Аллена, сестра Дэнни Уэста, тётя Уолли и Эйса Уэстов, мать Дона и Доун Алленов.;;
Имена персонажей;Iron;Железо;Робот из жидкого железа с практически неограниченной способностью менять форму.;Металлические Люди;
Имена персонажей;Iron Munro (Arn Munro, Arnold Raymond Munro);Стальной Манро (Арн Манро, Арнольд Рэймонд Манро);Супергерой с нечеловеческой силой, участник военных и правительственных операций, предположительный отец Литы Тревор, бывший муж Сандры Найт, дедушка Кейт Спенсер.;Гладиатор;
Имена персонажей;Irwin Schwab;Ирвин Шваб;Странный герой в костюме из инопланетных обломков, чья реальность размыта из‑за душевного недуга.;Засадный Жук;
Имена персонажей;Isaac Bowin;Айзек Боуин;Злодей, начавший преступную карьеру как противник ещё первого Флэша — Джея Гаррика.;Скрипач;
Имена персонажей;Isabella Ortiz (Robina);Изабелла Ортис (Робина);Талантливая в языках и боевых искусствах ученица, изучавшая дзюдо и кикбоксинг, чтобы помогать друзьям из «Мы — Робин».;;
Имена персонажей;Ishmael Gregor;Измаил Григорьев;Криминальный босс русского происхождения, ставший вторым Савваком после смертельного ритуала.;Саввак;
Имена персонажей;Izanami (Izanami-no-Mikoto, Kiki Bones);Идзанами (Идзанами-но микото, Кики Бонс);Японская богиня, вступившая в сговор с подземными божествами, потерпевшая поражение в борьбе за власть в аду, мать Такехико.;;
Имена персонажей;Izaya (Izaya the Inheritor);Изая (Изая Наследник);Муж Авии и Вайлы, приёмный отец Ориона, Лидер Нового Генезиса, заключивший мир с Дарксайдом, отдав ему своего сына Скотта Фри.;Верховный отец, Бесконечный человек;
Имена персонажей;Izumi Yasunari;Идзуми Ясунари;Японский физик-ядерщик, защитник Японии от угроз.;Восходящее Солнце;
Имена персонажей;J. E. B. Stuart (James Ewell Brown Stuart);Дж. Э. Б. Стюарт (Джеймс Эвелл Браун Стюарт);Генерал Конфедерации времён Гражданской войны в США, ставший призраком, сопровождающим танки, управляемые его потомками.;Танк с Привидением;На самом деле Ewell читается как «Юэлл». Пришлось изменить написание, чтобы инициалы персонажа складывались в «Джэб», как и задумано авторами. [Прим. D.Crane]
Имена персонажей;J. Wilbur Wolfingham;Джей Уилбур Вульфингем;Аферист, обманувший множество людей, но остановленный Суперменом.;;
Имена персонажей;J.A.K.E. (Jungle Automatic Killer - Experimental);ДЖЭК (Десантный Железный Экспериментальный Комбатант);Военный экспериментальный робот времён Второй мировой войны, известный как Рядовой Робот.;Рядовой Робот;
Имена персонажей;J'onn J'onzz (John Jones);Дж'онн Дж'онзз (Джон Джонс);Один из последних выживших зелёных марсиан с Марса.;Марсианский Охотник;
Имена персонажей;Jace Fox (Timothy Fox);Джейс Фокс (Тимоти Фокс);Сын Люциуса Фокса, прошедший путь от бунтаря и изгнанника до Бэтмена Нью-Йорка.;;
Имена персонажей;Jack Drake;Джек Дрейк;Муж Джанет Дрейк и отец Тима Дрейка, убитый Диггером Харкнессом.;;
Имена персонажей;Jack Knight;Джек Найт;Младший сын Теда Найта, ставший третийм Старманом после гибели брата Дэвида Найта.;Стармен;
Имена персонажей;Jack Napier;Джек Напье;Одно из предположительных «реальных» имён Джокера.;Джокер;
Имена персонажей;Jack Nimball;Джек Нимбалл;Преступник, присвоивший личность и арсенал игрушек оригинального Игрушечника — Уинслоу Шотта.;Игрушечник;
Имена персонажей;Jack Oswald White;Джек Освальд Уайт;Одно из предположительных «реальных» имён Джокера.;Джокер;
Имена персонажей;Jack Raymond;Джек Рэймонд;Учёный‑путешественник из XXV века, в приключениях его сопровождали жена Салли и её юный брат Томми.;;
Имена персонажей;Jack Ryder;Джек Райдер;Журналист, получивший сверхспособности от правительства и ставший безумным Крипером.;Крипер;
Имена персонажей;Jack Valor;Джек Валор;Внук Джона Валора, который решил продолжить его дело, став вторым Чёрным Корсаром.;Чёрный Пират;
Имена персонажей;Jack Weston;Джек Уэстон;Патриот в костюме, борец с шпионажем и саботажем во время Второй мировой войны.;Минитмен;
Имена персонажей;Jack Wheeler;Джек Уилер;Бывший футболист и солдат, ставший механиком, а после гибели возлюбленной — линчевателем.;Дикий Пёс;
Имена персонажей;Jack Woods;Джек Вудс;Техасский рейнджер, чьи первые приключения пришлись на завершающие годы Дикого Запада до и после Первой мировой войны.;;
Имена персонажей;Jackie Johnson;Джеки Джонсон;Бывший чемпион по боксу и санитар в гарлемской больнице, служивший в «Лёгкой» Бригаде во Вторую мировую.;«Лёгкая» Бригада;
Имена персонажей;Jackson Hyde (Kaldur'ahm);Джексон Хайд (Калдур'ам);Герой с гидрокинетическими способностями, сын Дэвида Хайда.;Аквалэд, Аквамен;
Имена персонажей;Jacob Baker;Джейкоб Бейкер;Преступник с полосатой внешностью, управляющий магнитными силами с помощью специального пояса, известный как первый Человек-зебра.;Человек-зебра;
Имена персонажей;Jacob Finlay;Джейкоб Финлэй;Первый герой, недолго носивший псевдоним Доктор Свет.;Доктор Свет;
Имена персонажей;Jacob Free;Джейкоб Фри;Сын Большой Барды и Скотта Фри, внук Изаи и Вайлы.;;
Имена персонажей;Jacob Kane (Jake Kane, Colonel Kane);Джейкоб Кейн (Джейк Кейн, Полковник Кейн);Полковник армии США, брат Марты Уэйн, отец Кейт Кейн и Бет Кейн, деверь Кэти Кей, дядя Бетти Кейн и Брюса Уэйна.;;
Имена персонажей;Jacqueline Pemberton;Жаклин Пембертон;Дочь Мерри Пембертон, которая решила продолжить её геройское дело.;Гиммикс;
Имена персонажей;Jade Nguyen;Джейд Нгуен;Наёмная убийца из Лиги Убийц и мать Лиан Харпер.;Чешир;
Имена персонажей;Jaffar;Джаффар;Участник террористической группировки Глубоководная шетёрка, Новый Бог с Апоколипса.;;
Имена персонажей;Jai West (Jai Park-West);Джай Уэст (Джай Парк-Уэст);Спидстер, сын Уолли Уэста и Линды Парк, брат-близнец Айри Уэст и старший брат Уэйда Уэста.;Рывок;
Имена персонажей;Jaime Reyes;Хайме Рейес;Мексиканско‑американский супергерой в экзоскелете от инопланетного скарабея, ставший третьим Синим Жуком.;Синий Жук;
Имена персонажей;Jaimini Sargent;Джаймини Сарджент;Могущественная волшебница, дочь Джона Сарджента, обратившаяся ко злу.;Чаровница Саргон;
Имена персонажей;Jaina Hudson;Джайна Хадсон;Девушка из привилегированной семьи, в которой скрывается патологическая альтер‑эго — Белый Кролик.;Белый Кролик;
Имена персонажей;Jake Jordan;Джейк Джордан;Бывший полицейский, ставший супергероем‑репортёром.;Манхэттенский Страж;
Имена персонажей;Jakeem Williams (Jakeem Johnny Williams);Джаким Уильямс (Джаким Джонни Уильямс);Подросток из Кистоун-Сити, обретший могущественного джинна Громобоя и вставший на защиту мира.;Джаким Громовержец;Произношение можно послушать в двенадцатом эпизоде второго сезона сериала «Старгёрл» (2020). [Прим. D.Crane]
Имена персонажей;Jamal Stuart;Джамал Стюарт;Очередной потомок генерала Дж. Э. Б. Стюарта, воевавший в Ираке и также командовавший Танком с Привидением.;;
Имена персонажей;James Barr (Jim Barr);Джеймс Барр (Джим Барр);Сын полицейского, посвятивший жизнь борьбе с преступностью, муж Сьюзан Кент и отец Дианны Барр.;Человек-пуля;
Имена персонажей;James Gordon Jr.;Джеймс Гордон мл.;Считающийся мёртвым психопатичный сын комиссара Джима Гордона.;;
Имена персонажей;James Jesse (Giovanni Giuseppe);Джеймс Джесси (Джованни Джузеппе);Бывший цирковой артист, ставший суперзлодеем Трюкачом, использующий трюки и летающие ботинки.;Трюкач;
Имена персонажей;James Rook (Jim Rook);Джеймс Рук (Джим Рук);Бывший рок-музыкант, Владеющий мистическим Мечом Ночи.;Хозяин Ночи;
Имена персонажей;Jan Haasan;Ян Хаасен;Датский участник отряда Детей-коммандос.;Дети-коммандос;
Имена персонажей;Jan-Al;Джен-Ал;Криптонианская исследовательница, ставшая одной из первых семи Зелёных Фонарей.;Зелёный Фонарь;
Имена персонажей;Janet Drake;Джанет Дрейк;Жена Джека Дрейк и мать Тима Дрейка.;;
Имена персонажей;Janet Fals;Джанет Фальс;Героиня, оживлённая с помощью устройства, требующего ежедневных схваток, ставшая второй Разжигательницей.;Разжигательница;
Имена персонажей;Janos Prohaska (Bart Hawk, Bartholomew Hawk);Янош Прохаска (Барт Хоук, Бартоломью Хоук);Опытный пилот польского происхождения, возглавляющий эскадрилью «Чёрный Ястреб» в боях на стороне союзников.;Чёрный Ястреб, Эскадрилья «Чёрный Ястреб»;
