Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Псевдонимы;Deadly Six;Убийственная шестёрка;Участник Революционеров и Отряда самоубийц.;;
Псевдонимы;Deadman;Мертвец;Призрак-мститель, охотящийся за преступниками и вселяющийся в тела живых людей.;Бостон Бренд;
Псевдонимы;Deadshot;Дэдшот;Наёмный убийца с феноменальной меткостью, бывший суперзлодей и антигерой.;Флойд Лоутон;
Псевдонимы;Deathstroke;Дефстроук;Элитный наёмник и убийца с сверхчеловеческими физическими способностями и рефлексами.;Слэйд Уилсон;Был выбран самый распространённый вариант среди сообщества, вне зависимости от логики. [Прим. D.Crane]
Псевдонимы;Deep Blue;Дип Блю;Амфибия со сверхсилой и устойчивостью, способная увеличивать морских существ и управлять ими, но не способная дышать вне воды.;Дебби Перкинс;
Псевдонимы;Defacer;Хулиганка;Вспыльчивая художница, рисующая граффити на улицах и летающая на самодельных реактивных ботинках.;Шоун Цанг;
Псевдонимы;Devastator;Опустошитель;Превратившийся в чудовище Брюс Уэйн с Земли –1, заражённый вирусом Думсдэя и уничтоживший свой мир в попытке отомстить Супермену.;Брюс Уэйн;
Псевдонимы;Ding-Dong Daddy (D-Daddy, Dowd);Батяня Динь-Дон (Батяня Ди, Дауд);Противник Юных Титанов, появившийся во время их расследования массового ухода школьников из школы в городке Харрисон.;;
Псевдонимы;Djinn;Джинн;Древняя джинн, тысячелетиями вынужденная творить зло по воле хозяев, ныне пытающаяся искупить содеянное и ставшая супергероиней.;;
Псевдонимы;Doc Dread;Док Ужас;Суперзлодей, вооружённый высокотехнологичной бронёй.;Ява, Бобби Фрейдон;
Псевдонимы;Doctor Alchemy;Доктор Алхимия;Химик с раздвоением личности, использующий Философский камень для преступной деятельности.;Альберт Десмонд;
Псевдонимы;Doctor Cyber;Доктор Кибер;Суперзлодейка с возможностью управлять техникой на расстоянии и выдающимися интеллектуальными способностями.;Сильвия Кибер, Адрианна Андерсон;
Псевдонимы;Doctor Destiny;Доктор Судьба;Злодей со способностью изменять реальность и читать сны, ослабленный психическим расстройством и физической немощью.;Джон Ди;
